Website,r_hint,power,content size
okta_com.html,url-preconnect,45.351036,heavy
okta_com.html,scr-preload,42.997176,heavy
okta_com.html,scr-prefetch,43.1541,heavy
okta_com.html,none,47.367449,heavy
okta_com.html,img-preload,45.0699984,heavy
okta_com.html,img-prefetch,38.827188,heavy
okta_com.html,css-preload,44.880264,heavy
okta_com.html,css-prefetch,46.449504,heavy
optimizely_com.html,url-preconnect,46.135656,heavy
optimizely_com.html,scr-preload,41.271012,heavy
optimizely_com.html,scr-prefetch,41.741784,heavy
optimizely_com.html,none,49.091133,heavy
optimizely_com.html,img-preload,44.38476,heavy
optimizely_com.html,img-prefetch,44.681328,heavy
optimizely_com.html,css-preload,44.566416,heavy
optimizely_com.html,css-prefetch,43.93872,heavy
parallels_com.html,url-preconnect,44.252568,light
parallels_com.html,scr-preload,44.095644,light
parallels_com.html,scr-prefetch,44.566416,light
parallels_com.html,none,47.251942,light
parallels_com.html,img-preload,44.3536128,light
parallels_com.html,img-prefetch,39.460068,light
parallels_com.html,css-preload,45.351036,light
parallels_com.html,css-prefetch,44.880264,light
paypal_com.html,url-preconnect,44.72334,heavy
paypal_com.html,scr-preload,43.781796,heavy
paypal_com.html,scr-prefetch,45.037188,heavy
paypal_com.html,none,51.104695,heavy
paypal_com.html,img-preload,44.8812288,heavy
paypal_com.html,img-prefetch,46.485036,heavy
paypal_com.html,css-preload,47.391048,heavy
paypal_com.html,css-prefetch,47.86182,heavy
pcmag_com.html,url-preconnect,46.449504,light
pcmag_com.html,scr-preload,48.175668,light
pcmag_com.html,scr-prefetch,46.876536,light
pcmag_com.html,none,46.454692,light
pcmag_com.html,img-preload,42.2355024,light
pcmag_com.html,img-prefetch,42.6461184,light
pcmag_com.html,css-preload,44.880264,light
pcmag_com.html,css-prefetch,42.840252,light
python_org.html,url-preconnect,41.741784,light
python_org.html,scr-preload,42.526404,light
python_org.html,scr-prefetch,42.983136,light
python_org.html,none,49.490778,light
python_org.html,img-preload,41.9854032,light
python_org.html,img-prefetch,41.51808,light
python_org.html,css-preload,46.606428,light
python_org.html,css-prefetch,43.624872,light
qualtrics_com.html,url-preconnect,43.781796,heavy
qualtrics_com.html,scr-preload,45.664884,heavy
qualtrics_com.html,scr-prefetch,44.409492,heavy
qualtrics_com.html,none,50.205535,heavy
qualtrics_com.html,img-preload,46.253592,heavy
qualtrics_com.html,img-prefetch,44.902836,heavy
qualtrics_com.html,css-preload,46.449504,heavy
qualtrics_com.html,css-prefetch,45.664884,heavy
quora_com.html,url-preconnect,43.467948,heavy
quora_com.html,scr-preload,42.997176,heavy
quora_com.html,scr-prefetch,43.624872,heavy
quora_com.html,none,46.306143,heavy
quora_com.html,img-preload,43.7929632,heavy
quora_com.html,img-prefetch,39.966372,heavy
quora_com.html,css-preload,46.135656,heavy
quora_com.html,css-prefetch,42.997176,heavy
rambler_ru.html,url-preconnect,46.763352,light
rambler_ru.html,scr-preload,42.997176,light
rambler_ru.html,scr-prefetch,43.467948,light
rambler_ru.html,none,47.190549,light
rambler_ru.html,img-preload,45.9732672,light
rambler_ru.html,img-prefetch,45.282564,light
rambler_ru.html,css-preload,48.489516,light
rambler_ru.html,css-prefetch,44.409492,light
rapid7_com.html,url-preconnect,42.683328,heavy
rapid7_com.html,scr-preload,45.351036,heavy
rapid7_com.html,scr-prefetch,43.311024,heavy
rapid7_com.html,none,51.714684,heavy
rapid7_com.html,img-preload,45.319176,heavy
rapid7_com.html,img-prefetch,47.117916,heavy
rapid7_com.html,css-preload,48.332592,heavy
rapid7_com.html,css-prefetch,45.978732,heavy
redgifs_com.html,url-preconnect,42.212556,heavy
redgifs_com.html,scr-preload,44.72334,heavy
redgifs_com.html,scr-prefetch,42.055632,heavy
redgifs_com.html,none,45.406752,heavy
redgifs_com.html,img-preload,45.0388512,heavy
redgifs_com.html,img-prefetch,44.77626,heavy
redgifs_com.html,css-preload,41.741784,heavy
redgifs_com.html,css-prefetch,41.898708,heavy
researchgate_net.html,url-preconnect,43.467948,light
researchgate_net.html,scr-preload,41.271012,light
researchgate_net.html,scr-prefetch,43.4191968,light
researchgate_net.html,none,43.379972,light
researchgate_net.html,img-preload,43.8611472,light
researchgate_net.html,img-prefetch,41.048064,light
researchgate_net.html,css-preload,44.095644,light
researchgate_net.html,css-prefetch,42.840252,light
ring_com.html,url-preconnect,54.452628,light
ring_com.html,scr-preload,62.612676,light
ring_com.html,scr-prefetch,49.7732256,light
ring_com.html,none,58.3265,light
ring_com.html,img-preload,55.49076,light
ring_com.html,img-prefetch,56.34864,light
ring_com.html,css-preload,49.117212,light
ring_com.html,css-prefetch,60.572664,light
rollingstone_com.html,url-preconnect,45.194112,light
rollingstone_com.html,scr-preload,43.781796,light
rollingstone_com.html,scr-prefetch,45.474912,light
rollingstone_com.html,none,47.751727,light
rollingstone_com.html,img-preload,47.1124368,light
