Column1;Column2;Column3
tinyurl_com-htm;css-preload;3458.3
tinyurl_com-htm;img-prefetch;2076.2
tinyurl_com-htm;img-preload;2143.0
tinyurl_com-htm;none;2133.4
tinyurl_com-htm;scr-prefetch;8051.3
tinyurl_com-htm;scr-preload;2448.2
tinyurl_com-htm;url-preconnect;2388.4
trustpilot_com-htm;css-prefetch;926.6
trustpilot_com-htm;css-preload;837.8
trustpilot_com-htm;img-prefetch;1055.1
trustpilot_com-htm;img-preload;1038.5
trustpilot_com-htm;none;1099.3
trustpilot_com-htm;scr-prefetch;918.6
trustpilot_com-htm;scr-preload;920.2
trustpilot_com-htm;url-preconnect;887.1
txxx_com-htm;css-prefetch;887.1
txxx_com-htm;css-preload;887.1
txxx_com-htm;img-prefetch;887.1
txxx_com-htm;img-preload;887.1
txxx_com-htm;none;887.1
txxx_com-htm;scr-prefetch;887.1
txxx_com-htm;scr-preload;887.1
txxx_com-htm;url-preconnect;887.1
ucdavis_edu-htm;css-prefetch;1888.8
ucdavis_edu-htm;css-preload;1211.6
ucdavis_edu-htm;img-prefetch;1167.5
ucdavis_edu-htm;img-preload;1089.9
ucdavis_edu-htm;none;2007.7
ucdavis_edu-htm;scr-prefetch;2408.6
ucdavis_edu-htm;scr-preload;2042.8
ucdavis_edu-htm;url-preconnect;1167.4
udemy_com-htm;css-prefetch;1041.9
udemy_com-htm;css-preload;1016.5
udemy_com-htm;img-prefetch;1026.2
udemy_com-htm;img-preload;1056.4
udemy_com-htm;none;1220.5
udemy_com-htm;scr-prefetch;943.8
udemy_com-htm;scr-preload;998.8
udemy_com-htm;url-preconnect;1097.6
utorrent_com-htm;css-prefetch;1557.0
utorrent_com-htm;css-preload;2208.4
utorrent_com-htm;img-prefetch;1956.6
utorrent_com-htm;img-preload;1949.1
utorrent_com-htm;none;2252.8
utorrent_com-htm;scr-prefetch;2125.6
utorrent_com-htm;scr-preload;2161.9
utorrent_com-htm;url-preconnect;1906.7
variety_com-htm;css-prefetch;1100.9
variety_com-htm;css-preload;1182.0
variety_com-htm;img-prefetch;929.4
variety_com-htm;img-preload;1053.5
variety_com-htm;none;902.0
variety_com-htm;scr-prefetch;1071.5
variety_com-htm;scr-preload;779.9
variety_com-htm;url-preconnect;1028.9
vice_com-htm;css-prefetch;525.8
vice_com-htm;css-preload;1013.9
vice_com-htm;img-prefetch;956.6
vice_com-htm;img-preload;989.4
vice_com-htm;none;744.0
vice_com-htm;scr-prefetch;651.1
vice_com-htm;scr-preload;1094.9
vice_com-htm;url-preconnect;924.7
wattpad_com-htm;css-prefetch;1128.7
wattpad_com-htm;css-preload;1111.4
wattpad_com-htm;img-prefetch;1404.3
wattpad_com-htm;img-preload;1231.5
wattpad_com-htm;none;1289.5
wattpad_com-htm;scr-prefetch;1176.8
